model,test_RMSE,test_MAE,test_R2,test_NRMSE,cv_RMSE_mean,cv_RMSE_std,cv_MAE_mean,cv_R2_mean
Full_RandomForest,0.6567028234299981,0.4285487250237195,0.5246823285907076,0.10423854340158699,0.6836121628163424,0.0793850682366652,0.45254306755477225,0.4964146028004043
Full_GradientBoosting,0.8040544795668734,0.4770111645693723,0.2874470449393206,0.12762769516934497,0.724405753198669,0.1077274340229776,0.45935697843506207,0.4352597915864086
Full_LinearRegression,0.8513075727354432,0.6271335419219373,0.20123470523172904,0.13512818614848304,0.9941508387078939,0.10143368374477925,0.6510699767008541,-0.14436699988243729
Full_Ridge,0.8558003078864882,0.6301788081988834,0.1927815668521391,0.13584131871214097,0.9681345444592383,0.0974304199199363,0.6406503735363052,-0.060611429170269626
GasType_LinearRegression,0.9514480242496475,0.6395833333333335,0.0022624182950111704,0.15102349591264244,1.015320355789283,0.21132360574532097,0.6791313721648377,-0.034148236418824585
