k,Inertia,Silhouette,Calinski_Harabasz,Davies_Bouldin,Min_Cluster_Size,Max_Cluster_Size
2,1447.4622639885947,0.43467471377561767,406.22917456765623,0.8317797490057504,123,269
3,1087.1643675106504,0.32878752499783137,334.1949056941666,1.1167211527544467,90,208
4,875.7105938231298,0.32321313468018265,307.1127465453202,1.2349458808995561,91,110
5,794.193390055536,0.30075656078203405,263.2524325006347,1.287164138991038,63,95
6,724.8230628665212,0.2556424684351044,237.5502085568905,1.3312732295898737,42,81
7,666.8668511681174,0.2564866143168392,220.18192327654504,1.351792420386536,30,75
8,622.5180570312355,0.25919433300134626,205.5554374634995,1.3194829951796092,13,73
