cluster,mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin
Fuel-efficient and light,26.446575342465753,4.613013698630137,142.67979452054794,85.31506849315069,2585.8116438356165,16.513698630136986,76.74657534246575,1.773972602739726
High-power and heavy,14.684000000000001,7.98,345.47,160.4,4121.56,12.702,73.74,1.0
