Model,Clusters,Noise_Ratio,Silhouette,Calinski_Harabasz,Davies_Bouldin,ARI_vs_KMeans,Parameters
Agglomerative_Ward,2,0.0,0.455824249444421,396.62325949722214,0.7468961060137543,0.7710748432667867,k=2
KMeans,2,0.0,0.43467471377561767,406.22917456765623,0.8317797490057504,1.0,k=2
DBSCAN,6,0.33163265306122447,0.4138456944206876,250.08717348936688,0.9593822434414414,0.2664722835080998,"eps=0.9, min_samples=10"
Gaussian_Mixture,2,0.0,0.23430083721365672,156.6878309572329,1.3791390389078912,0.1332401196696275,k=2
