,precision,recall,f1-score,support
N,0.8709677419354839,0.7105263157894737,0.782608695652174,38.0
Y,0.8804347826086957,0.9529411764705882,0.9152542372881356,85.0
accuracy,0.8780487804878049,0.8780487804878049,0.8780487804878049,0.8780487804878049
macro avg,0.8757012622720898,0.8317337461300309,0.8489314664701548,123.0
weighted avg,0.8775100058153457,0.8780487804878049,0.8742743138558873,123.0
