,,,consume,consume
,,,count,mean
AC,rain,sun,,
0,0,0,295,4.874915254237288
0,0,1,27,4.277777777777778
0,1,0,36,5.408333333333333
1,0,0,13,4.6923076923076925
1,0,1,5,4.58
1,1,0,12,6.1499999999999995
