model,RMSE,MAE,R2,NRMSE,stage
Direct_RandomForest,69.90250483955852,45.02107158861687,0.8994856429173922,0.07162141889299022,direct_modeling
FE_RandomForest_logTarget,77.20288537747321,50.69333396936959,0.8773945751623408,0.07910131698511591,engineered_modeling
FE_Ridge_logTarget,97.22857131085834,61.14944274071466,0.8055399329822682,0.0996194378185023,engineered_modeling
Direct_Ridge_logTarget,203.03614678437313,139.82911780436896,0.1520126995882567,0.20802883891841487,direct_modeling
