Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Balanced_Accuracy
SVM_RBF,0.8020833333333334,0.8065816997692523,0.8116694033935413,0.8089776278881585,0.8116694033935413
RandomForest,0.7604166666666666,0.7664736696994762,0.7763656267104544,0.7707092713628662,0.7763656267104544
GradientBoosting,0.7395833333333334,0.7454890788224121,0.7587739463601532,0.7513131703338859,0.7587739463601532
LogisticRegression,0.7291666666666666,0.7298202614379085,0.7579529282977558,0.7385232828718592,0.757952928297756
Majority_Baseline,0.4375,0.14583333333333334,0.3333333333333333,0.2028985507246377,0.3333333333333333
