,raisedhands,VisITedResources,AnnouncementsView,Discussion,class_code
raisedhands,1.0,0.6915717054692967,0.6439177679183938,0.3393859910133957,0.6462984486224296
VisITedResources,0.6915717054692967,1.0,0.5945000269505789,0.2432917691611495,0.6770935772040002
AnnouncementsView,0.6439177679183938,0.5945000269505789,1.0,0.41728999883561435,0.5273700401846112
Discussion,0.3393859910133957,0.2432917691611495,0.41728999883561435,1.0,0.3081825547879789
class_code,0.6462984486224296,0.6770935772040002,0.5273700401846112,0.3081825547879789,1.0
