,raisedhands,raisedhands,VisITedResources,VisITedResources,AnnouncementsView,AnnouncementsView,Discussion,Discussion
,mean,median,mean,median,mean,median,mean,median
Class,,,,,,,,
L,16.88976377952756,10.0,18.322834645669293,11.0,15.5748031496063,11.0,30.834645669291337,21.0
M,48.93838862559242,50.0,60.63507109004739,72.0,40.96208530805687,38.0,43.791469194312796,40.0
H,70.28873239436619,75.0,78.74647887323944,84.0,53.38028169014085,52.0,53.66197183098591,54.0
